elapsedDistance,brakePosition,engineSpeed,torque
304.5,43.38670093,2900.571651,100.0
305.0,45.37273365,2885.01293,100.0
305.5,47.30997849,2868.884805,100.0
306.0,49.20092675,2852.191304,100.0
306.5,51.0476496,2834.935546,100.0
307.0,52.85188221,2817.119832,100.0
307.5,54.6150879,2798.745708,100.0
308.0,56.33850788,2779.814017,100.0
308.5,58.02320012,2760.324932,100.0
309.0,59.6700704,2740.277985,100.0
309.5,61.2798971,2719.672085,100.0
310.0,62.85335139,2698.505522,100.0
310.5,64.39101374,2676.775972,100.0
311.0,65.89338753,2654.480493,100.0
311.5,67.36091037,2631.615514,100.0
312.0,68.79396363,2608.176817,100.0
312.5,70.19288041,2584.159514,100.0
313.0,71.55795233,2559.558023,100.0
313.5,72.88943534,2534.36603,100.0
314.0,74.18755463,2508.576452,100.0
314.5,75.45250896,2482.181383,100.0
315.0,76.68447435,2455.172045,100.0
315.5,77.88360723,2427.538725,100.0
316.0,79.05004733,2399.270695,100.0
316.5,80.18392007,2370.356137,100.0
317.0,81.28533875,2340.782042,100.0
317.5,82.3544064,2310.534106,100.0
318.0,0.0,2293.273194,100.0
318.5,0.0,2289.984587,100.0
319.0,0.0,2287.57992,100.0
319.5,0.0,2285.532986,100.0
320.0,0.0,2283.741389,100.0
320.5,0.0,2282.149571,100.0
321.0,0.0,2280.721462,100.0
321.5,0.0,2279.431358,100.0
322.0,0.0,2278.259853,100.0
322.5,0.0,2277.191703,100.0
323.0,0.0,2276.214585,100.0
323.5,0.0,2275.318313,100.0
324.0,0.0,2274.494324,100.0
324.5,0.0,2273.735321,100.0
325.0,0.0,2273.035011,100.0
325.5,0.0,2272.387917,100.0
326.0,0.0,2271.789236,100.0
326.5,0.0,2271.234723,100.0
327.0,0.0,2270.72061,100.0
327.5,0.0,2270.243529,100.0
328.0,0.0,2269.80046,100.0
328.5,0.0,2269.388684,100.0
329.0,0.0,2272.797417,100.0
329.5,0.0,2279.908715,100.0
330.0,0.0,2286.893172,100.0
330.5,0.0,2293.752217,100.0
331.0,0.0,2300.487259,100.0
331.5,0.0,2307.099695,100.0
332.0,0.0,2313.590904,100.0
332.5,0.0,2319.962256,100.0
333.0,0.0,2326.215105,100.0
333.5,0.0,2332.350795,100.0
334.0,0.0,2338.370658,100.0
334.5,0.0,2344.276016,100.0
335.0,0.0,2350.068182,100.0
335.5,0.0,2355.74846,100.0
336.0,0.0,2361.318144,100.0
336.5,0.0,2366.778525,100.0
337.0,0.0,2372.130881,100.0
337.5,0.0,2377.376487,100.0
338.0,0.0,2382.516613,100.0
338.5,0.0,2387.55252,100.0
339.0,0.0,2392.485468,100.0
339.5,0.0,2397.316708,100.0
340.0,0.0,2402.047491,100.0
340.5,0.0,2406.679062,100.0
341.0,0.0,2415.132283,100.0
341.5,0.0,2423.484653,100.0
342.0,0.0,2431.737221,100.0
342.5,0.0,2439.891012,100.0
343.0,0.0,2447.947036,100.0
343.5,0.0,2455.906284,100.0
344.0,0.0,2463.769729,100.0
344.5,0.0,2471.538329,100.0
345.0,0.0,2479.213025,100.0
345.5,0.0,2486.794745,100.0
346.0,0.0,2494.284399,100.0
346.5,0.0,2501.682885,100.0
347.0,0.0,2508.991087,100.0
347.5,0.0,2516.209875,100.0
348.0,0.0,2523.340108,100.0
348.5,0.0,2530.382631,100.0
349.0,0.0,2537.338279,100.0
349.5,0.0,2544.207875,100.0
350.0,0.0,2550.992229,100.0
350.5,0.0,2557.692144,100.0
351.0,0.0,2564.30841,100.0
351.5,0.0,2570.841809,100.0
352.0,0.0,2577.293112,100.0
352.5,0.0,2583.663083,100.0
353.0,0.0,2589.952475,100.0
353.5,0.0,2596.162033,100.0
354.0,0.0,2602.292496,100.0
354.5,0.0,2608.344591,100.0
355.0,0.0,2614.319042,100.0
355.5,0.0,2620.216561,100.0
356.0,0.0,2626.037858,100.0
356.5,0.0,2631.783631,100.0
357.0,0.0,2637.454575,100.0
357.5,0.0,2643.051377,100.0
358.0,0.0,2648.574718,100.0
358.5,0.0,2654.025274,100.0
359.0,67.96682464,2634.550981,100.0
359.5,69.37340514,2610.959158,100.0
360.0,70.74650929,2586.794574,100.0
360.5,72.08641153,2562.051509,100.0
361.0,73.39335353,2536.723517,100.0
361.5,74.66754871,2510.803389,100.0
362.0,75.90918613,2484.283103,100.0
362.5,77.11843389,2457.153767,100.0
363.0,78.29544204,2429.405555,100.0
363.5,79.44034517,2401.027639,100.0
364.0,80.55326467,2372.008096,100.0
364.5,81.63431072,2342.33382,100.0
365.0,82.68358402,2311.990413,100.0
365.5,83.70117738,2280.962054,100.0
366.0,84.68717705,2249.231363,100.0
366.5,85.64166396,2216.779234,100.0
367.0,86.56471483,2183.584646,100.0
367.5,87.4564031,2149.624447,100.0
368.0,88.31679981,2114.873101,100.0
368.5,89.14597438,2079.30239,100.0
369.0,89.94399529,2042.881076,100.0
369.5,0.0,2022.517959,100.0
370.0,0.0,2019.43119,100.0
370.5,0.0,2017.359974,100.0
371.0,0.0,2015.673375,100.0
371.5,0.0,2014.253142,100.0
372.0,0.0,2013.035571,100.0
372.5,0.0,2011.979679,100.0
373.0,0.0,2011.05657,100.0
373.5,0.0,2010.244675,100.0
374.0,0.0,2009.52726,100.0
374.5,0.0,2008.890972,100.0
375.0,0.0,2008.324931,100.0
375.5,0.0,2007.820119,100.0
376.0,0.0,2007.368969,100.0
376.5,0.0,2006.965058,100.0
377.0,0.0,2006.602891,100.0
377.5,0.0,2006.277728,100.0
378.0,0.0,2005.985455,100.0
378.5,0.0,2005.722487,100.0
379.0,0.0,2005.485678,100.0
