Elapsed Time,Voltage,Adjusted SoC
13130.579,3.81362,58.93992
13140.579,3.81265,58.801009
13150.579,3.81201,58.662104
13160.579,3.81168,58.523223
13170.579,3.81071,58.384344
13180.579,3.81039,58.245455
13190.579,3.80974,58.106542
13200.579,3.8091,57.967644
13210.579,3.80813,57.828757
13220.579,3.8078,57.689875
13230.579,3.80716,57.550984
13240.579,3.80651,57.412104
13250.579,3.80586,57.273235
13260.579,3.80521,57.134355
13270.579,3.80489,56.99546
13280.579,3.80392,56.856575
13290.579,3.80327,56.717688
13300.579,3.80263,56.578787
13310.579,3.8023,56.439902
13320.579,3.80166,56.30103
13330.579,3.80101,56.16214
13340.579,3.80036,56.023242
13350.579,3.79972,55.88436
13360.579,3.79907,55.745459
13370.579,3.79842,55.606562
13380.579,3.7981,55.467686
13390.579,3.79745,55.328796
13400.579,3.79681,55.189924
13410.579,3.79616,55.051025
13420.579,3.79584,54.912135
13430.579,3.79519,54.773257
13440.579,3.79454,54.634395
13450.579,3.79389,54.495523
13460.579,3.79357,54.356664
13470.579,3.79292,54.217769
13480.579,3.79195,54.078889
13490.579,3.79195,53.940002
13500.579,3.79098,53.801107
13510.579,3.79034,53.662223
13520.579,3.79001,53.523328
13530.579,3.78937,53.384442
13540.579,3.78872,53.245549
13550.579,3.7884,53.106657
13560.579,3.78775,52.967774
13570.579,3.7871,52.828888
13580.579,3.78646,52.689995
13590.579,3.78613,52.55108
13600.579,3.78549,52.412224
13610.579,3.78516,52.273299
13620.579,3.78484,52.13443
13630.579,3.78419,51.995523
13640.579,3.78354,51.856648
13650.579,3.78322,51.717764
13660.579,3.78225,51.578859
13670.579,3.78193,51.439979
13680.579,3.78128,51.301087
13690.579,3.78096,51.162211
13700.579,3.78063,51.023316
13710.579,3.77966,50.884445
13720.579,3.77934,50.745545
13730.579,3.77869,50.60665
13740.579,3.77837,50.467757
13750.579,3.77772,50.328851
13760.579,3.7774,50.189972
13770.579,3.77675,50.05107
13780.579,3.77643,49.912172
13790.579,3.77578,49.773287
13800.579,3.77546,49.634397
13810.579,3.77481,49.495543
13820.579,3.77416,49.356647
13830.579,3.77384,49.217753
13840.579,3.77352,49.078869
13850.579,3.77287,48.93998
13860.579,3.77255,48.801084
13870.579,3.7719,48.66218
13880.579,3.77125,48.523288
13890.579,3.77093,48.384401
13900.579,3.77028,48.245521
13910.579,3.76996,48.106621
13920.579,3.76964,47.967739
13930.579,3.76899,47.828888
13940.579,3.76867,47.689986
13950.579,3.76802,47.551082
13960.579,3.7677,47.412186
13970.579,3.76705,47.273269
13980.579,3.76673,47.134366
13990.579,3.7664,46.995482
14000.579,3.76576,46.8566
14010.579,3.76543,46.717712
14020.579,3.76511,46.578831
14030.579,3.76446,46.439941
14040.579,3.76414,46.301086
14050.579,3.76349,46.162206
14060.579,3.76317,46.023337
14070.579,3.76284,45.884463
14080.579,3.7622,45.745581
14090.579,3.76155,45.606701
14100.579,3.76123,45.467806
14110.579,3.7609,45.328915
14120.579,3.76026,45.190032
14130.579,3.76026,45.051156
14140.579,3.75961,44.912269
14150.579,3.75896,44.773368
14160.579,3.75864,44.634483
14170.579,3.75832,44.495594
14180.579,3.75799,44.35671
14190.579,3.75735,44.217803
14200.579,3.75735,44.078941
14210.579,3.75638,43.940076
14220.579,3.75605,43.801188
14230.579,3.75573,43.662301
14240.579,3.75541,43.523399
14250.579,3.75508,43.384508
14260.579,3.75476,43.245617
14270.579,3.75411,43.106734
14280.579,3.75379,42.967863
14290.579,3.75314,42.828986
14300.579,3.75282,42.690115
14310.579,3.75249,42.551222
14320.579,3.75217,42.412334
14330.579,3.75185,42.27344
14340.579,3.7512,42.134575
14350.579,3.75088,41.995703
14360.579,3.75055,41.85682
14370.579,3.75023,41.717938
14380.579,3.74991,41.579043
14390.579,3.74926,41.440163
14400.579,3.74926,41.301265
14410.579,3.74861,41.162374
14420.579,3.74829,41.023479
14430.579,3.74797,40.884582
14440.579,3.74732,40.745693
14450.579,3.74732,40.606801
14460.579,3.74667,40.467888
14470.579,3.74635,40.328998
14480.579,3.74603,40.190126
14490.579,3.74538,40.051238
14500.579,3.74538,39.912333
14510.579,3.74473,39.773416
14520.579,3.74473,39.634523
14530.579,3.74441,39.495623
14540.579,3.74376,39.356729
14550.579,3.74344,39.21786
14560.579,3.74311,39.078991
14570.579,3.74279,38.940093
14580.579,3.74247,38.801225
14590.579,3.74214,38.662317
14600.579,3.74182,38.523465
14610.579,3.7415,38.384558
14620.579,3.74085,38.245669
14630.579,3.74053,38.106775
14640.579,3.7402,37.967875
14650.579,3.73988,37.828956
14660.579,3.73956,37.69004
14670.579,3.73956,37.551161
14680.579,3.73891,37.412268
14690.579,3.73859,37.273373
14700.579,3.73859,37.134493
14710.579,3.73794,36.995588
14720.579,3.73762,36.856682
14730.579,3.73762,36.717805
14740.579,3.73729,36.578935
14750.579,3.73697,36.440032
14760.579,3.73665,36.301154
14770.579,3.73632,36.162276
14780.579,3.73632,36.023392
14790.579,3.73568,35.8845
14800.579,3.73568,35.745601
14810.579,3.73535,35.606725
14820.579,3.73503,35.467838
14830.579,3.73471,35.328936
